,height,weight,max_grade,years_climbing,age,sex
509,185,68,55,17,33.0,0
510,182,78,57,33,54.0,0
511,0,0,55,2017,,0
512,0,0,46,20,40.0,1
513,186,73,62,19,40.0,0
514,0,0,57,17,,0
515,0,0,46,17,,1
516,179,63,62,26,44.0,0
517,180,68,62,22,38.0,0
518,182,98,33,19,36.0,0
519,0,0,51,2017,,0
520,0,0,64,2017,,0
521,5,0,53,17,,0
522,178,68,59,17,,0
523,0,0,59,16,,0
524,0,0,44,2017,,0
525,0,0,59,17,43.0,0
526,0,73,66,19,33.0,0
527,0,0,44,17,37.0,0
528,175,68,53,18,53.0,0
529,0,0,49,16,,0
530,0,0,51,2017,,0
531,0,0,57,2017,,0
532,0,0,57,17,,0
533,0,73,49,17,40.0,0
534,175,63,59,4,42.0,0
535,180,73,66,26,47.0,0
536,0,0,51,20,37.0,0
537,52,0,57,20,33.0,0
538,183,78,62,22,42.0,0
539,0,40,57,17,,0
540,178,73,44,19,35.0,0
541,185,83,57,31,49.0,0
542,170,63,57,24,39.0,0
543,0,0,49,17,41.0,0
544,178,73,57,23,39.0,0
545,150,63,59,19,,0
546,0,68,55,17,40.0,0
547,0,0,46,2017,,0
548,0,0,44,18,,0
549,0,0,36,2017,,0
550,0,0,57,17,39.0,0
551,164,48,64,20,38.0,0
552,0,0,66,2017,,0
553,190,88,38,19,44.0,0
554,165,53,53,18,30.0,0
555,190,0,59,17,36.0,0
556,0,68,44,17,,0
557,0,0,55,2017,,0
558,180,78,53,25,38.0,0
559,189,78,55,19,35.0,0
560,180,83,57,24,39.0,0
561,168,0,49,20,45.0,1
562,185,83,51,17,,0
563,182,63,64,23,,0
564,169,63,53,24,,0
565,178,63,49,22,37.0,0
566,0,0,46,18,,0
567,175,53,46,17,43.0,0
568,0,0,49,2017,,0
569,174,68,75,27,37.0,0
570,190,88,49,18,42.0,0
571,170,63,59,20,41.0,0
572,0,0,51,22,41.0,0
573,176,63,57,27,40.0,0
574,0,0,29,2017,,0
575,162,53,55,24,50.0,0
576,152,0,62,17,23.0,1
577,0,0,42,17,,0
578,0,0,57,17,,0
579,182,68,66,23,36.0,0
580,180,68,44,39,49.0,0
581,184,73,40,25,44.0,0
582,175,58,51,20,33.0,0
583,172,68,49,21,43.0,0
584,0,0,55,17,,0
585,181,73,66,17,36.0,0
586,0,0,53,17,,0
587,175,0,49,23,44.0,1
588,161,0,49,21,45.0,1
589,150,48,59,18,42.0,1
590,0,0,57,17,,0
591,175,73,57,23,41.0,0
592,0,0,59,17,,0
593,172,68,42,25,46.0,0
594,6,68,64,30,44.0,0
595,182,73,59,17,40.0,0
596,0,0,44,2017,,0
597,184,68,57,22,36.0,0
598,165,63,55,21,38.0,0
599,179,78,55,17,37.0,0
600,0,0,51,16,,0
601,179,68,62,22,35.0,0
602,0,63,59,17,35.0,0
603,0,0,66,21,,0
604,185,68,51,20,37.0,0
605,161,53,68,2,34.0,1
606,255,78,66,18,31.0,0
607,0,0,59,17,,0
608,0,0,36,2017,,0
609,0,68,55,21,43.0,0
610,0,0,59,17,,0
611,175,68,55,21,39.0,0
612,0,0,42,17,43.0,0
613,173,68,55,21,37.0,0
614,167,68,62,19,30.0,0
615,180,48,57,17,47.0,0
616,0,0,49,17,,1
617,0,0,53,2017,,1
618,0,0,44,2017,,0
619,178,73,62,18,46.0,0
620,171,63,66,17,,0
621,180,73,49,17,40.0,0
622,172,58,42,16,41.0,0
623,0,0,55,17,,0
624,172,63,70,23,42.0,0
625,178,63,68,23,39.0,0
626,176,68,64,20,32.0,0
627,186,78,59,32,46.0,0
628,0,0,40,2017,,0
629,0,63,66,24,40.0,0
630,185,78,55,25,44.0,0
631,174,63,57,27,37.0,0
632,0,0,62,2017,,0
633,190,83,49,17,,0
634,170,53,44,18,32.0,0
635,182,68,44,16,,0
636,186,93,36,20,38.0,0
637,0,0,55,2017,,0
638,173,63,64,17,40.0,0
639,0,0,59,2017,,0
640,0,0,49,20,,0
641,167,58,40,17,37.0,1
642,0,0,59,2017,,0
643,177,63,62,31,52.0,1
644,0,0,62,17,33.0,0
645,183,68,55,20,34.0,0
646,183,73,64,20,34.0,0
647,0,0,51,2017,,0
648,181,78,55,26,41.0,0
649,0,0,53,2017,,1
650,175,68,53,28,57.0,0
651,0,63,57,18,37.0,0
652,178,68,64,22,35.0,0
653,181,78,57,23,,0
654,183,98,29,17,37.0,0
655,0,0,33,17,,0
656,0,0,49,2017,,0
657,185,68,72,18,24.0,0
658,175,63,64,31,52.0,1
659,0,0,44,2017,,0
660,0,0,53,2017,,0
661,0,0,64,2017,,0
662,0,0,51,2017,,0
663,185,73,64,26,39.0,0
664,172,63,44,17,41.0,0
665,1,0,53,2017,17.0,0
666,0,0,59,17,,0
667,160,58,49,20,43.0,1
668,175,0,49,17,,1
669,0,0,53,2017,,0
670,0,0,55,2017,,0
671,180,63,53,22,39.0,0
672,176,100,64,19,40.0,0
673,185,68,64,18,36.0,0
674,177,63,62,30,54.0,0
675,177,63,66,28,44.0,0
676,187,83,53,22,36.0,0
677,186,78,38,19,42.0,0
678,179,63,68,20,32.0,0
679,0,0,62,2017,,0
680,175,0,59,20,38.0,0
681,188,88,53,33,45.0,0
682,184,73,64,21,33.0,0
683,170,63,55,20,47.0,0
684,0,0,53,2017,,0
685,158,93,53,24,47.0,0
686,0,0,62,2017,,0
687,193,0,40,28,49.0,0
688,0,0,59,2017,,0
689,175,63,51,27,41.0,0
690,179,63,53,22,36.0,1
691,175,88,49,23,42.0,0
692,167,63,64,19,33.0,0
693,0,0,55,17,,0
694,170,48,51,16,,0
695,185,68,64,33,46.0,0
696,182,68,57,30,47.0,0
697,178,78,70,18,32.0,0
698,0,0,59,17,,0
699,0,0,64,2017,,0
700,0,0,62,27,42.0,0
701,0,0,62,17,,0
702,0,0,62,2017,,0
703,0,0,53,2017,,0
704,0,68,57,18,35.0,0
705,0,0,68,17,,0
706,185,83,40,18,46.0,0
707,161,63,59,34,45.0,0
708,0,0,59,17,,0
709,0,0,49,2017,,0
710,177,73,59,28,45.0,0
711,168,53,59,28,49.0,1
712,173,68,62,22,39.0,0
713,186,88,62,22,40.0,0
714,190,73,53,24,44.0,0
715,185,63,44,16,31.0,0
716,0,0,59,17,,0
717,152,43,51,17,,1
718,0,73,59,17,36.0,0
719,190,83,49,17,44.0,0
720,184,78,36,17,44.0,0
721,0,0,59,21,37.0,0
722,0,0,36,17,,0
723,183,73,59,16,33.0,0
724,190,78,51,20,15.0,0
725,0,0,57,20,39.0,0
726,0,0,55,2017,,0
727,0,63,62,25,31.0,0
728,0,73,66,29,44.0,0
729,0,0,59,17,,0
730,0,63,51,17,36.0,0
731,174,63,72,22,32.0,0
732,178,78,42,24,52.0,0
733,162,48,57,24,44.0,1
734,0,0,59,31,,0
735,0,0,57,17,,0
736,183,83,53,20,,0
737,178,68,64,18,35.0,0
738,179,73,51,18,35.0,0
739,173,63,49,19,,0
740,183,73,53,24,42.0,0
741,0,0,49,2017,,0
742,185,73,55,20,40.0,0
743,177,73,57,37,53.0,0
744,0,0,62,23,44.0,0
745,0,0,59,17,,0
746,0,0,59,17,,0
747,183,73,42,16,48.0,0
748,0,53,62,18,34.0,1
749,0,0,59,17,,0
750,181,68,62,21,35.0,0
751,170,0,59,20,35.0,0
752,0,0,44,2017,,0
753,178,0,59,17,,0
754,168,58,49,25,41.0,0
755,180,63,49,17,36.0,0
756,188,78,57,22,,0
757,0,0,59,17,,0
758,0,0,42,2017,,0
759,178,73,49,18,46.0,0
760,175,68,59,22,36.0,0
761,0,0,49,2017,,0
762,0,0,44,2017,,0
763,0,0,49,2017,,0
764,0,0,55,17,,0
765,0,0,59,17,,0
766,194,73,53,16,41.0,0
767,0,58,59,23,40.0,0
768,0,0,36,2017,,0
769,0,78,59,30,50.0,0
770,172,0,66,24,39.0,0
771,0,0,44,17,,1
772,181,73,44,18,,0
773,184,68,72,18,32.0,0
774,0,0,53,18,38.0,0
775,180,0,44,18,44.0,0
776,183,73,51,31,51.0,0
777,178,63,55,18,31.0,0
778,183,73,55,22,34.0,0
779,175,68,57,17,41.0,0
780,0,0,62,17,,0
781,0,0,57,2017,,0
782,0,0,62,2017,,0
783,170,73,62,24,30.0,0
784,5,58,55,28,43.0,1
785,181,0,55,24,36.0,0
786,0,0,59,2017,,0
787,175,0,51,25,45.0,0
788,0,0,53,2017,,0
789,0,0,46,2017,,0
790,0,0,57,17,39.0,0
791,0,83,59,18,34.0,0
792,0,0,62,2017,,0
793,0,0,40,2017,,0
794,171,63,59,22,44.0,0
795,0,0,64,17,,0
796,0,0,49,2017,,0
797,0,0,62,17,,0
798,176,68,49,20,,0
799,180,73,64,32,44.0,0
800,0,0,51,2017,,0
801,180,100,59,17,43.0,0
802,0,0,59,19,36.0,0
803,73,78,62,17,38.0,0
804,170,0,62,17,32.0,0
805,180,78,64,32,45.0,0
806,0,0,64,17,39.0,0
807,0,0,59,2017,,0
808,170,73,38,22,40.0,0
809,0,0,51,17,,0
810,0,0,49,2017,,0
811,0,78,66,17,30.0,0
812,178,63,59,21,,0
813,0,0,57,2017,,0
814,0,0,55,2017,,0
815,0,0,64,2017,,0
816,0,0,64,17,,0
817,0,0,62,16,,0
818,0,63,66,17,41.0,0
819,175,68,62,19,34.0,0
820,0,68,64,22,,0
821,182,68,62,24,37.0,0
822,178,78,62,23,43.0,0
823,0,0,44,2017,,0
824,0,0,49,17,,0
825,169,58,64,20,44.0,0
826,0,0,59,2017,,0
827,175,63,51,21,50.0,0
828,191,98,49,23,43.0,0
829,0,0,51,2017,,0
830,0,0,59,17,,0
831,187,83,64,23,38.0,0
832,0,0,57,2017,,0
833,190,83,62,18,35.0,0
834,175,83,57,23,41.0,0
835,181,78,62,18,37.0,0
836,68,63,57,22,40.0,0
837,175,68,49,17,43.0,0
838,180,0,57,22,37.0,0
839,180,73,64,25,38.0,0
840,178,68,62,24,50.0,0
841,0,78,53,28,,0
842,178,78,51,21,38.0,0
843,185,78,49,17,,0
844,177,63,21,19,41.0,0
845,0,0,49,17,,0
846,173,68,66,17,32.0,0
847,180,68,59,28,41.0,0
848,167,63,64,21,36.0,0
849,176,68,64,17,35.0,0
850,0,0,59,17,,0
851,0,0,51,2017,,0
852,186,83,44,19,40.0,0
853,184,78,42,17,,0
854,0,0,51,2017,,0
855,0,0,51,17,,0
856,0,0,55,17,,0
857,0,0,40,17,,1
858,0,0,62,23,33.0,0
859,155,53,53,21,35.0,1
860,0,0,62,17,,0
861,178,0,62,19,32.0,0
862,187,100,55,17,42.0,0
863,175,73,57,16,,0
864,177,73,51,21,38.0,0
865,0,0,70,17,,0
866,171,0,49,19,37.0,1
867,156,98,64,23,31.0,1
868,0,0,29,17,,1
869,180,68,51,37,,0
870,0,0,55,17,,0
871,0,0,55,2017,,0
872,180,93,36,16,43.0,0
873,189,83,51,17,,0
874,182,83,42,18,35.0,0
875,0,68,44,16,38.0,0
876,0,0,53,2017,,0
877,181,63,44,16,31.0,0
878,0,0,59,2017,,0
879,172,68,53,27,46.0,0
880,171,63,55,19,42.0,0
881,0,0,57,17,,0
882,0,0,51,17,,0
883,0,0,51,2017,,0
884,0,0,57,17,,0
885,178,68,57,20,39.0,0
886,183,73,59,20,39.0,0
887,0,0,66,23,,0
888,0,0,62,2017,,0
889,180,68,66,19,32.0,0
890,0,0,62,24,42.0,0
891,188,78,44,17,33.0,0
892,0,68,51,22,37.0,0
893,0,0,57,17,,0
894,168,0,62,19,42.0,0
895,0,0,51,2017,,0
896,183,83,53,24,46.0,0
897,0,0,57,21,,0
898,182,73,62,18,30.0,0
899,177,68,59,17,34.0,0
900,0,93,51,27,,0
901,175,68,51,18,39.0,0
902,180,83,49,16,42.0,0
903,173,63,55,21,36.0,0
904,178,68,46,26,46.0,0
905,0,0,36,2017,,0
906,181,68,49,17,36.0,0
907,0,0,59,17,,1
908,0,0,44,2017,,0
909,0,0,53,2017,,0
910,175,73,53,25,45.0,0
911,165,63,40,16,48.0,0
912,0,0,49,2017,,0
913,0,0,53,2017,,0
914,183,68,40,18,,0
915,188,88,59,25,,0
916,0,0,51,2017,,0
917,175,78,55,28,47.0,0
918,0,73,66,20,39.0,0
919,181,78,53,16,36.0,0
920,182,68,66,19,32.0,0
921,0,0,62,2017,,0
922,0,0,59,17,,0
923,172,73,64,25,41.0,0
924,0,0,64,17,,0
925,180,73,51,20,41.0,0
926,159,53,59,20,39.0,1
927,178,63,68,37,50.0,0
928,174,58,59,22,38.0,0
929,187,73,51,19,45.0,1
