,height,weight,max_grade,years_climbing,age,sex
198,186.0,73.0,51.0,19.0,46.0,0.0
199,179.33333333333334,73.0,46.0,21.0,36.666666666666664,0.0
200,173.66666666666666,63.0,49.0,19.0,33.0,0.0
201,185.0,78.0,51.0,24.0,38.0,0.0
202,170.0,58.0,55.0,17.0,36.0,0.0
203,162.0,53.0,57.0,23.0,44.0,0.0
204,173.0,63.0,59.0,17.0,41.0,0.0
205,171.33333333333334,66.33333333333333,57.0,24.0,38.0,0.0
206,186.0,73.0,59.0,20.0,37.0,0.0
207,178.0,73.0,66.0,21.0,34.666666666666664,0.0
208,190.0,73.0,59.0,25.0,39.666666666666664,0.0
209,177.0,73.0,64.0,35.0,51.0,0.0
210,177.0,63.0,57.0,26.0,46.0,0.0
211,176.0,63.0,59.0,24.0,41.0,0.0
212,183.0,73.0,55.0,18.0,36.0,0.0
213,184.0,78.0,64.0,23.0,32.0,0.0
214,174.33333333333334,68.0,49.0,29.0,46.0,0.0
215,187.0,78.0,57.0,21.0,32.0,0.0
216,189.0,73.0,62.0,32.0,37.0,0.0
217,183.0,68.0,55.0,38.0,56.0,0.0
218,184.0,78.0,59.0,24.0,44.0,0.0
219,172.0,68.0,59.0,32.0,52.0,0.0
220,180.0,68.0,55.0,20.0,42.0,0.0
221,180.0,73.0,51.0,27.0,42.0,0.0
222,190.0,73.0,53.0,17.0,41.0,0.0
223,179.0,73.0,57.0,22.0,41.0,0.0
224,189.0,78.0,62.0,23.0,40.0,0.0
225,173.0,78.0,57.0,31.0,46.0,0.0
226,165.0,61.333333333333336,53.0,19.0,38.0,0.0
227,176.0,68.0,62.0,28.0,44.0,0.0
228,173.0,73.0,57.0,19.0,41.0,0.0
229,186.0,73.0,44.0,21.0,46.0,0.0
230,184.0,74.66666666666667,59.0,21.0,46.0,0.0
231,178.0,73.0,31.0,28.0,47.0,0.0
232,165.0,63.0,59.0,22.0,43.0,0.0
233,185.0,73.0,53.0,19.0,36.0,0.0
234,172.0,63.0,42.0,17.0,64.0,0.0
235,175.0,68.0,53.0,26.0,43.0,0.0
236,192.0,83.0,51.0,23.0,15.0,0.0
237,178.0,68.0,62.0,27.0,38.0,0.0
238,170.0,68.0,57.0,21.0,37.0,0.0
239,178.0,73.0,68.0,20.0,35.0,0.0
240,170.66666666666666,54.666666666666664,53.0,22.0,45.0,1.0
241,178.0,63.0,64.0,23.0,40.0,0.0
242,175.0,73.0,64.0,27.0,35.0,0.0
243,186.0,71.33333333333333,51.0,24.0,48.0,0.0
244,169.0,63.0,55.0,19.0,38.333333333333336,0.0
245,186.0,78.0,51.0,23.0,45.0,0.0
